year_month,estimate,month_of_release,passenger_type,direction,sex,age,standard_error,status
2001-01,662,2020-09,Long-term migrant,Departures,Female,25-29 years,0,Final
2001-01,683,2020-09,Long-term migrant,Departures,Male,25-29 years,0,Final
2001-01,462,2020-09,Long-term migrant,Departures,Female,30-34 years,0,Final
2001-01,477,2020-09,Long-term migrant,Departures,Male,30-34 years,0,Final
2001-01,469,2020-09,Long-term migrant,Departures,Female,35-39 years,0,Final
2001-01,436,2020-09,Long-term migrant,Departures,Male,35-39 years,0,Final
2001-01,335,2020-09,Long-term migrant,Departures,Female,40-44 years,0,Final
2001-01,354,2020-09,Long-term migrant,Departures,Male,40-44 years,0,Final
2001-01,217,2020-09,Long-term migrant,Departures,Female,45-49 years,0,Final
2001-01,258,2020-09,Long-term migrant,Departures,Male,45-49 years,0,Final
2001-01,386,2020-09,Long-term migrant,Departures,Female,5-9 years,0,Final
2001-01,451,2020-09,Long-term migrant,Departures,Male,5-9 years,0,Final
2001-01,152,2020-09,Long-term migrant,Departures,Female,50-54 years,0,Final
2001-01,199,2020-09,Long-term migrant,Departures,Male,50-54 years,0,Final
2001-01,92,2020-09,Long-term migrant,Departures,Female,55-59 years,0,Final
2001-01,89,2020-09,Long-term migrant,Departures,Male,55-59 years,0,Final
2001-01,74,2020-09,Long-term migrant,Departures,Female,60-64 years,0,Final
2001-01,67,2020-09,Long-term migrant,Departures,Male,60-64 years,0,Final
2001-01,58,2020-09,Long-term migrant,Departures,Female,65-69 years,0,Final
2001-01,55,2020-09,Long-term migrant,Departures,Male,65-69 years,0,Final
2001-01,39,2020-09,Long-term migrant,Departures,Female,70-74 years,0,Final
2001-01,22,2020-09,Long-term migrant,Departures,Male,70-74 years,0,Final
2001-01,17,2020-09,Long-term migrant,Departures,Female,75-79 years,0,Final
2001-01,20,2020-09,Long-term migrant,Departures,Male,75-79 years,0,Final
2001-01,6,2020-09,Long-term migrant,Departures,Female,80-84 years,0,Final
2001-01,7,2020-09,Long-term migrant,Departures,Male,80-84 years,0,Final
2001-01,6,2020-09,Long-term migrant,Departures,Female,85-89 years,0,Final
2001-01,3,2020-09,Long-term migrant,Departures,Female,90+ years,0,Final
2001-01,-42,2020-09,Long-term migrant,Net,Female,0-4 years,0,Final
2001-01,-75,2020-09,Long-term migrant,Net,Male,0-4 years,0,Final
2001-01,96,2020-09,Long-term migrant,Net,Female,10-14 years,0,Final
2001-01,79,2020-09,Long-term migrant,Net,Male,10-14 years,0,Final
2001-01,524,2020-09,Long-term migrant,Net,Female,15-19 years,0,Final
2001-01,494,2020-09,Long-term migrant,Net,Male,15-19 years,0,Final
2001-01,-102,2020-09,Long-term migrant,Net,Female,20-24 years,0,Final
2001-01,-101,2020-09,Long-term migrant,Net,Male,20-24 years,0,Final
2001-01,-3,2020-09,Long-term migrant,Net,Female,25-29 years,0,Final
2001-01,-79,2020-09,Long-term migrant,Net,Male,25-29 years,0,Final
2001-01,52,2020-09,Long-term migrant,Net,Female,30-34 years,0,Final
2001-01,25,2020-09,Long-term migrant,Net,Male,30-34 years,0,Final
2001-01,-9,2020-09,Long-term migrant,Net,Female,35-39 years,0,Final
2001-01,-29,2020-09,Long-term migrant,Net,Male,35-39 years,0,Final
2001-01,-7,2020-09,Long-term migrant,Net,Female,40-44 years,0,Final
2001-01,-6,2020-09,Long-term migrant,Net,Male,40-44 years,0,Final
2001-01,-11,2020-09,Long-term migrant,Net,Female,45-49 years,0,Final
2001-01,-37,2020-09,Long-term migrant,Net,Male,45-49 years,0,Final
2001-01,21,2020-09,Long-term migrant,Net,Female,5-9 years,0,Final
2001-01,-47,2020-09,Long-term migrant,Net,Male,5-9 years,0,Final
2001-01,-10,2020-09,Long-term migrant,Net,Female,50-54 years,0,Final
2001-01,-28,2020-09,Long-term migrant,Net,Male,50-54 years,0,Final
2001-01,1,2020-09,Long-term migrant,Net,Female,55-59 years,0,Final
2001-01,15,2020-09,Long-term migrant,Net,Male,55-59 years,0,Final
2001-01,2,2020-09,Long-term migrant,Net,Male,60-64 years,0,Final
2001-01,3,2020-09,Long-term migrant,Net,Female,65-69 years,0,Final
2001-01,-13,2020-09,Long-term migrant,Net,Male,65-69 years,0,Final
2001-01,-7,2020-09,Long-term migrant,Net,Female,70-74 years,0,Final
2001-01,15,2020-09,Long-term migrant,Net,Male,70-74 years,0,Final
2001-01,4,2020-09,Long-term migrant,Net,Female,75-79 years,0,Final
2001-01,-6,2020-09,Long-term migrant,Net,Male,75-79 years,0,Final
2001-01,5,2020-09,Long-term migrant,Net,Female,80-84 years,0,Final
2001-01,1,2020-09,Long-term migrant,Net,Male,80-84 years,0,Final
2001-01,-2,2020-09,Long-term migrant,Net,Female,85-89 years,0,Final
2001-01,3,2020-09,Long-term migrant,Net,Male,85-89 years,0,Final
2001-01,2,2020-09,Long-term migrant,Net,Female,90+ years,0,Final
2001-01,1,2020-09,Long-term migrant,Net,Male,90+ years,0,Final
2001-01,685,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,0,Final
2001-01,969,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,0,Final
2001-01,1803,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,0,Final
2001-01,1132,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,0,Final
2001-01,1263,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,0,Final
2001-01,1016,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,0,Final
2001-01,867,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,0,Final
2001-01,676,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,0,Final
2001-01,427,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,0,Final
2001-01,811,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,0,Final
2001-01,313,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,0,Final
2001-01,197,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,0,Final
2001-01,143,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,0,Final
2001-01,103,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,0,Final
2001-01,69,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,0,Final
2001-01,35,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,0,Final
2001-01,19,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,0,Final
2001-01,7,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,0,Final
2001-01,802,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,0,Final
2001-01,794,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,0,Final
2001-01,785,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,0,Final
2001-01,1335,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,0,Final
2001-01,1345,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,0,Final
2001-01,939,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,0,Final
2001-01,905,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,0,Final
2001-01,689,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,0,Final
2001-01,475,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,0,Final
2001-01,837,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,0,Final
2001-01,351,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,0,Final
2001-01,181,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,0,Final
2001-01,141,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,0,Final
2001-01,113,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,0,Final
2001-01,61,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,0,Final
2001-01,37,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,0,Final
2001-01,13,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,0,Final
2001-01,6,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,0,Final
2001-01,-117,2020-09,Long-term migrant,Net,TOTAL,0-4 years,0,Final
2001-01,175,2020-09,Long-term migrant,Net,TOTAL,10-14 years,0,Final
2001-01,1018,2020-09,Long-term migrant,Net,TOTAL,15-19 years,0,Final
2001-01,-203,2020-09,Long-term migrant,Net,TOTAL,20-24 years,0,Final
2001-01,-82,2020-09,Long-term migrant,Net,TOTAL,25-29 years,0,Final
2001-01,77,2020-09,Long-term migrant,Net,TOTAL,30-34 years,0,Final
2001-01,-38,2020-09,Long-term migrant,Net,TOTAL,35-39 years,0,Final
2001-01,-13,2020-09,Long-term migrant,Net,TOTAL,40-44 years,0,Final
2001-01,-48,2020-09,Long-term migrant,Net,TOTAL,45-49 years,0,Final
2001-01,-26,2020-09,Long-term migrant,Net,TOTAL,5-9 years,0,Final
2001-01,-38,2020-09,Long-term migrant,Net,TOTAL,50-54 years,0,Final
2001-01,16,2020-09,Long-term migrant,Net,TOTAL,55-59 years,0,Final
2001-01,2,2020-09,Long-term migrant,Net,TOTAL,60-64 years,0,Final
2001-01,-10,2020-09,Long-term migrant,Net,TOTAL,65-69 years,0,Final
2001-01,8,2020-09,Long-term migrant,Net,TOTAL,70-74 years,0,Final
2001-01,-2,2020-09,Long-term migrant,Net,TOTAL,75-79 years,0,Final
2001-01,6,2020-09,Long-term migrant,Net,TOTAL,80-84 years,0,Final
2001-01,1,2020-09,Long-term migrant,Net,TOTAL,85-89 years,0,Final
2001-01,6,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,0,Final
2001-01,3,2020-09,Long-term migrant,Departures,TOTAL,90+ years,0,Final
2001-01,3,2020-09,Long-term migrant,Net,TOTAL,90+ years,0,Final
2001-01,5285,2020-09,Long-term migrant,Arrivals,Female,TOTAL,0,Final
2001-01,5256,2020-09,Long-term migrant,Arrivals,Male,TOTAL,0,Final
2001-01,4770,2020-09,Long-term migrant,Departures,Female,TOTAL,0,Final
2001-01,5042,2020-09,Long-term migrant,Departures,Male,TOTAL,0,Final
2001-01,515,2020-09,Long-term migrant,Net,Female,TOTAL,0,Final
2001-01,214,2020-09,Long-term migrant,Net,Male,TOTAL,0,Final
2001-01,10541,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,0,Final
2001-01,9812,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,0,Final
2001-01,729,2020-09,Long-term migrant,Net,TOTAL,TOTAL,0,Final
2001-02,269,2020-09,Long-term migrant,Arrivals,Female,0-4 years,0,Final
2001-02,283,2020-09,Long-term migrant,Arrivals,Male,0-4 years,0,Final
2001-02,275,2020-09,Long-term migrant,Arrivals,Female,10-14 years,0,Final
2001-02,337,2020-09,Long-term migrant,Arrivals,Male,10-14 years,0,Final
2001-02,807,2020-09,Long-term migrant,Arrivals,Female,15-19 years,0,Final
2001-02,954,2020-09,Long-term migrant,Arrivals,Male,15-19 years,0,Final
2001-02,822,2020-09,Long-term migrant,Arrivals,Female,20-24 years,0,Final
2001-02,882,2020-09,Long-term migrant,Arrivals,Male,20-24 years,0,Final
2001-02,679,2020-09,Long-term migrant,Arrivals,Female,25-29 years,0,Final
2001-02,738,2020-09,Long-term migrant,Arrivals,Male,25-29 years,0,Final
2001-02,494,2020-09,Long-term migrant,Arrivals,Female,30-34 years,0,Final
2001-02,488,2020-09,Long-term migrant,Arrivals,Male,30-34 years,0,Final
2001-02,359,2020-09,Long-term migrant,Arrivals,Female,35-39 years,0,Final
2001-02,419,2020-09,Long-term migrant,Arrivals,Male,35-39 years,0,Final
2001-02,288,2020-09,Long-term migrant,Arrivals,Female,40-44 years,0,Final
2001-02,281,2020-09,Long-term migrant,Arrivals,Male,40-44 years,0,Final
2001-02,163,2020-09,Long-term migrant,Arrivals,Female,45-49 years,0,Final
2001-02,173,2020-09,Long-term migrant,Arrivals,Male,45-49 years,0,Final
2001-02,268,2020-09,Long-term migrant,Arrivals,Female,5-9 years,0,Final
2001-02,265,2020-09,Long-term migrant,Arrivals,Male,5-9 years,0,Final
2001-02,133,2020-09,Long-term migrant,Arrivals,Female,50-54 years,0,Final
2001-02,152,2020-09,Long-term migrant,Arrivals,Male,50-54 years,0,Final
2001-02,127,2020-09,Long-term migrant,Arrivals,Female,55-59 years,0,Final
2001-02,130,2020-09,Long-term migrant,Arrivals,Male,55-59 years,0,Final
2001-02,135,2020-09,Long-term migrant,Arrivals,Female,60-64 years,0,Final
2001-02,111,2020-09,Long-term migrant,Arrivals,Male,60-64 years,0,Final
2001-02,98,2020-09,Long-term migrant,Arrivals,Female,65-69 years,0,Final
2001-02,86,2020-09,Long-term migrant,Arrivals,Male,65-69 years,0,Final
2001-02,59,2020-09,Long-term migrant,Arrivals,Female,70-74 years,0,Final
2001-02,53,2020-09,Long-term migrant,Arrivals,Male,70-74 years,0,Final
2001-02,38,2020-09,Long-term migrant,Arrivals,Female,75-79 years,0,Final
2001-02,39,2020-09,Long-term migrant,Arrivals,Male,75-79 years,0,Final
2001-02,20,2020-09,Long-term migrant,Arrivals,Female,80-84 years,0,Final
2001-02,7,2020-09,Long-term migrant,Arrivals,Male,80-84 years,0,Final
2001-02,7,2020-09,Long-term migrant,Arrivals,Female,85-89 years,0,Final
2001-02,3,2020-09,Long-term migrant,Arrivals,Male,85-89 years,0,Final
2001-02,1,2020-09,Long-term migrant,Arrivals,Female,90+ years,0,Final
2001-02,5,2020-09,Long-term migrant,Arrivals,Male,90+ years,0,Final
2001-02,371,2020-09,Long-term migrant,Departures,Female,0-4 years,0,Final
2001-02,373,2020-09,Long-term migrant,Departures,Male,0-4 years,0,Final
2001-02,257,2020-09,Long-term migrant,Departures,Female,10-14 years,0,Final
2001-02,264,2020-09,Long-term migrant,Departures,Male,10-14 years,0,Final
2001-02,296,2020-09,Long-term migrant,Departures,Female,15-19 years,0,Final
2001-02,279,2020-09,Long-term migrant,Departures,Male,15-19 years,0,Final
2001-02,711,2020-09,Long-term migrant,Departures,Female,20-24 years,0,Final
2001-02,691,2020-09,Long-term migrant,Departures,Male,20-24 years,0,Final
2001-02,695,2020-09,Long-term migrant,Departures,Female,25-29 years,0,Final
2001-02,718,2020-09,Long-term migrant,Departures,Male,25-29 years,0,Final
2001-02,469,2020-09,Long-term migrant,Departures,Female,30-34 years,0,Final
2001-02,505,2020-09,Long-term migrant,Departures,Male,30-34 years,0,Final
2001-02,378,2020-09,Long-term migrant,Departures,Female,35-39 years,0,Final
2001-02,437,2020-09,Long-term migrant,Departures,Male,35-39 years,0,Final
2001-02,279,2020-09,Long-term migrant,Departures,Female,40-44 years,0,Final
2001-02,338,2020-09,Long-term migrant,Departures,Male,40-44 years,0,Final
2001-02,194,2020-09,Long-term migrant,Departures,Female,45-49 years,0,Final
2001-02,213,2020-09,Long-term migrant,Departures,Male,45-49 years,0,Final
2001-02,289,2020-09,Long-term migrant,Departures,Female,5-9 years,0,Final
2001-02,325,2020-09,Long-term migrant,Departures,Male,5-9 years,0,Final
2001-02,142,2020-09,Long-term migrant,Departures,Female,50-54 years,0,Final
2001-02,164,2020-09,Long-term migrant,Departures,Male,50-54 years,0,Final
2001-02,130,2020-09,Long-term migrant,Departures,Female,55-59 years,0,Final
2001-02,129,2020-09,Long-term migrant,Departures,Male,55-59 years,0,Final
2001-02,102,2020-09,Long-term migrant,Departures,Female,60-64 years,0,Final
2001-02,102,2020-09,Long-term migrant,Departures,Male,60-64 years,0,Final
2001-02,86,2020-09,Long-term migrant,Departures,Female,65-69 years,0,Final
2001-02,87,2020-09,Long-term migrant,Departures,Male,65-69 years,0,Final
2001-02,45,2020-09,Long-term migrant,Departures,Female,70-74 years,0,Final
2001-02,39,2020-09,Long-term migrant,Departures,Male,70-74 years,0,Final
2001-02,24,2020-09,Long-term migrant,Departures,Female,75-79 years,0,Final
2001-02,25,2020-09,Long-term migrant,Departures,Male,75-79 years,0,Final
2001-02,5,2020-09,Long-term migrant,Departures,Female,80-84 years,0,Final
2001-02,6,2020-09,Long-term migrant,Departures,Male,80-84 years,0,Final
2001-02,5,2020-09,Long-term migrant,Departures,Female,85-89 years,0,Final
2001-02,4,2020-09,Long-term migrant,Departures,Male,85-89 years,0,Final
2001-02,2,2020-09,Long-term migrant,Departures,Female,90+ years,0,Final
2001-02,4,2020-09,Long-term migrant,Departures,Male,90+ years,0,Final
2001-02,-102,2020-09,Long-term migrant,Net,Female,0-4 years,0,Final
2001-02,-90,2020-09,Long-term migrant,Net,Male,0-4 years,0,Final
2001-02,18,2020-09,Long-term migrant,Net,Female,10-14 years,0,Final
2001-02,73,2020-09,Long-term migrant,Net,Male,10-14 years,0,Final
2001-02,511,2020-09,Long-term migrant,Net,Female,15-19 years,0,Final
2001-02,675,2020-09,Long-term migrant,Net,Male,15-19 years,0,Final
2001-02,111,2020-09,Long-term migrant,Net,Female,20-24 years,0,Final
2001-02,191,2020-09,Long-term migrant,Net,Male,20-24 years,0,Final
2001-02,-16,2020-09,Long-term migrant,Net,Female,25-29 years,0,Final
2001-02,20,2020-09,Long-term migrant,Net,Male,25-29 years,0,Final
2001-02,25,2020-09,Long-term migrant,Net,Female,30-34 years,0,Final
2001-02,-17,2020-09,Long-term migrant,Net,Male,30-34 years,0,Final
2001-02,-19,2020-09,Long-term migrant,Net,Female,35-39 years,0,Final
2001-02,-18,2020-09,Long-term migrant,Net,Male,35-39 years,0,Final
2001-02,9,2020-09,Long-term migrant,Net,Female,40-44 years,0,Final
2001-02,-57,2020-09,Long-term migrant,Net,Male,40-44 years,0,Final
2001-02,-31,2020-09,Long-term migrant,Net,Female,45-49 years,0,Final
2001-02,-40,2020-09,Long-term migrant,Net,Male,45-49 years,0,Final
2001-02,-21,2020-09,Long-term migrant,Net,Female,5-9 years,0,Final
2001-02,-60,2020-09,Long-term migrant,Net,Male,5-9 years,0,Final
2001-02,-9,2020-09,Long-term migrant,Net,Female,50-54 years,0,Final
2001-02,-12,2020-09,Long-term migrant,Net,Male,50-54 years,0,Final
2001-02,-3,2020-09,Long-term migrant,Net,Female,55-59 years,0,Final
2001-02,1,2020-09,Long-term migrant,Net,Male,55-59 years,0,Final
2001-02,33,2020-09,Long-term migrant,Net,Female,60-64 years,0,Final
2001-02,9,2020-09,Long-term migrant,Net,Male,60-64 years,0,Final
2001-02,12,2020-09,Long-term migrant,Net,Female,65-69 years,0,Final
2001-02,-1,2020-09,Long-term migrant,Net,Male,65-69 years,0,Final
2001-02,14,2020-09,Long-term migrant,Net,Female,70-74 years,0,Final
2001-02,14,2020-09,Long-term migrant,Net,Male,70-74 years,0,Final
2001-02,14,2020-09,Long-term migrant,Net,Female,75-79 years,0,Final
2001-02,14,2020-09,Long-term migrant,Net,Male,75-79 years,0,Final
2001-02,15,2020-09,Long-term migrant,Net,Female,80-84 years,0,Final
2001-02,1,2020-09,Long-term migrant,Net,Male,80-84 years,0,Final
2001-02,2,2020-09,Long-term migrant,Net,Female,85-89 years,0,Final
2001-02,-1,2020-09,Long-term migrant,Net,Male,85-89 years,0,Final
2001-02,-1,2020-09,Long-term migrant,Net,Female,90+ years,0,Final
2001-02,1,2020-09,Long-term migrant,Net,Male,90+ years,0,Final
2001-02,552,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,0,Final
2001-02,612,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,0,Final
2001-02,1761,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,0,Final
2001-02,1704,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,0,Final
2001-02,1417,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,0,Final
2001-02,982,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,0,Final
2001-02,778,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,0,Final
2001-02,569,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,0,Final
2001-02,336,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,0,Final
2001-02,533,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,0,Final
2001-02,285,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,0,Final
2001-02,257,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,0,Final
2001-02,246,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,0,Final
2001-02,184,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,0,Final
2001-02,112,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,0,Final
2001-02,77,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,0,Final
2001-02,27,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,0,Final
2001-02,10,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,0,Final
2001-02,744,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,0,Final
2001-02,521,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,0,Final
2001-02,575,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,0,Final
2001-02,1402,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,0,Final
2001-02,1413,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,0,Final
2001-02,974,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,0,Final
2001-02,815,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,0,Final
2001-02,617,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,0,Final
2001-02,407,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,0,Final
2001-02,614,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,0,Final
2001-02,306,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,0,Final
2001-02,259,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,0,Final
2001-02,204,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,0,Final
2001-02,173,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,0,Final
2001-02,84,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,0,Final
2001-02,49,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,0,Final
2001-02,11,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,0,Final
2001-02,9,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,0,Final
2001-02,-192,2020-09,Long-term migrant,Net,TOTAL,0-4 years,0,Final
2001-02,91,2020-09,Long-term migrant,Net,TOTAL,10-14 years,0,Final
2001-02,1186,2020-09,Long-term migrant,Net,TOTAL,15-19 years,0,Final
2001-02,302,2020-09,Long-term migrant,Net,TOTAL,20-24 years,0,Final
2001-02,4,2020-09,Long-term migrant,Net,TOTAL,25-29 years,0,Final
2001-02,8,2020-09,Long-term migrant,Net,TOTAL,30-34 years,0,Final
2001-02,-37,2020-09,Long-term migrant,Net,TOTAL,35-39 years,0,Final
2001-02,-48,2020-09,Long-term migrant,Net,TOTAL,40-44 years,0,Final
2001-02,-71,2020-09,Long-term migrant,Net,TOTAL,45-49 years,0,Final
2001-02,-81,2020-09,Long-term migrant,Net,TOTAL,5-9 years,0,Final
2001-02,-21,2020-09,Long-term migrant,Net,TOTAL,50-54 years,0,Final
2001-02,-2,2020-09,Long-term migrant,Net,TOTAL,55-59 years,0,Final
2001-02,42,2020-09,Long-term migrant,Net,TOTAL,60-64 years,0,Final
2001-02,11,2020-09,Long-term migrant,Net,TOTAL,65-69 years,0,Final
2001-02,28,2020-09,Long-term migrant,Net,TOTAL,70-74 years,0,Final
2001-02,28,2020-09,Long-term migrant,Net,TOTAL,75-79 years,0,Final
2001-02,16,2020-09,Long-term migrant,Net,TOTAL,80-84 years,0,Final
2001-02,1,2020-09,Long-term migrant,Net,TOTAL,85-89 years,0,Final
2001-02,6,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,0,Final
2001-02,6,2020-09,Long-term migrant,Departures,TOTAL,90+ years,0,Final
2001-02,0,2020-09,Long-term migrant,Net,TOTAL,90+ years,0,Final
2001-02,5042,2020-09,Long-term migrant,Arrivals,Female,TOTAL,0,Final
2001-02,5406,2020-09,Long-term migrant,Arrivals,Male,TOTAL,0,Final
2001-02,4480,2020-09,Long-term migrant,Departures,Female,TOTAL,0,Final
2001-02,4703,2020-09,Long-term migrant,Departures,Male,TOTAL,0,Final
